timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665919159423,488,PostUser,201,Created,Thread Group 1-209,text,true,,742,461,250,250,https://reqres.in/api/users,488,0,0
1665919159420,491,PostUser,201,Created,Thread Group 1-227,text,true,,748,461,250,250,https://reqres.in/api/users,491,0,0
1665919158525,1386,GetAllUsers,200,OK,Thread Group 1-236,text,true,,1797,772,250,250,https://reqres.in/api/users?page=2,371,0,0
1665919158525,371,GetAllUsers-0,301,Moved Permanently,Thread Group 1-236,,true,,664,386,250,250,http://reqres.in/api/users?page=2,371,0,0
1665919158896,1015,GetAllUsers-1,200,OK,Thread Group 1-236,text,true,,1133,386,250,250,https://reqres.in/api/users?page=2,1015,0,0
1665919159075,837,GetAllUsers,200,OK,Thread Group 1-112,text,true,,1787,772,250,250,https://reqres.in/api/users?page=2,638,0,0
1665919159075,638,GetAllUsers-0,301,Moved Permanently,Thread Group 1-112,,true,,664,386,250,250,http://reqres.in/api/users?page=2,638,0,0
1665919159713,199,GetAllUsers-1,200,OK,Thread Group 1-112,text,true,,1123,386,250,250,https://reqres.in/api/users?page=2,199,0,0
1665919159727,185,GetSingleUser,200,OK,Thread Group 1-127,text,true,,954,381,250,250,https://reqres.in/api/users/2,185,0,0
1665919159397,518,UserLogin,200,OK,Thread Group 1-160,text,true,,688,481,250,250,https://reqres.in/api/login,518,0,0
1665919159477,441,GetAllUsers,200,OK,Thread Group 1-249,text,true,,1791,772,250,250,https://reqres.in/api/users?page=2,245,0,0
1665919159477,245,GetAllUsers-0,301,Moved Permanently,Thread Group 1-249,,true,,666,386,250,250,http://reqres.in/api/users?page=2,245,0,0
1665919159722,196,GetAllUsers-1,200,OK,Thread Group 1-249,text,true,,1125,386,250,250,https://reqres.in/api/users?page=2,196,0,0
1665919159430,488,UserLogin,200,OK,Thread Group 1-75,text,true,,682,481,250,250,https://reqres.in/api/login,488,0,0
1665919159405,516,PatchUser,200,OK,Thread Group 1-155,text,true,,775,471,250,250,https://reqres.in/api/users/2,516,0,0
1665919158586,1336,UserLogin,200,OK,Thread Group 1-163,text,true,,688,481,250,250,https://reqres.in/api/login,1336,0,0
1665919159470,455,GetAllUsers,200,OK,Thread Group 1-162,text,true,,1785,772,250,250,https://reqres.in/api/users?page=2,259,0,0
1665919159470,259,GetAllUsers-0,301,Moved Permanently,Thread Group 1-162,,true,,658,386,250,250,http://reqres.in/api/users?page=2,259,0,0
1665919159729,196,GetAllUsers-1,200,OK,Thread Group 1-162,text,true,,1127,386,250,250,https://reqres.in/api/users?page=2,196,0,0
1665919159394,532,PostUser,201,Created,Thread Group 1-56,text,true,,740,461,250,250,https://reqres.in/api/users,532,0,0
1665919159402,524,UserLogin,200,OK,Thread Group 1-60,text,true,,684,481,250,250,https://reqres.in/api/login,524,0,0
1665919159436,491,PatchUser,200,OK,Thread Group 1-42,text,true,,771,471,250,250,https://reqres.in/api/users/2,491,0,0
1665919159734,196,GetSingleUser,200,OK,Thread Group 1-233,text,true,,950,381,250,250,https://reqres.in/api/users/2,196,0,0
1665919159472,461,GetAllUsers,200,OK,Thread Group 1-131,text,true,,1783,772,250,250,https://reqres.in/api/users?page=2,261,0,0
1665919159472,261,GetAllUsers-0,301,Moved Permanently,Thread Group 1-131,,true,,662,386,250,250,http://reqres.in/api/users?page=2,261,0,0
1665919159733,200,GetAllUsers-1,200,OK,Thread Group 1-131,text,true,,1121,386,250,250,https://reqres.in/api/users?page=2,200,0,0
1665919159435,498,UserLogin,200,OK,Thread Group 1-169,text,true,,680,481,250,250,https://reqres.in/api/login,498,0,0
1665919159469,465,GetAllUsers,200,OK,Thread Group 1-12,text,true,,1787,772,250,250,https://reqres.in/api/users?page=2,264,0,0
1665919159469,264,GetAllUsers-0,301,Moved Permanently,Thread Group 1-12,,true,,668,386,250,250,http://reqres.in/api/users?page=2,264,0,0
